[ BONDS ]
     C    NH1      H    2.017    1.817    2.217  118.862    9.000
    H0   CH2E   CDR    2.068    1.868    2.268  108.475    9.000
    H0   CH2E    NH3    2.041    1.841    2.241  108.362    9.000
    HA   CH2G     HA    1.632    1.432    1.832  109.057    9.000
    C5    NH1      H    2.124    1.924    2.324  125.693    9.000
  CH2E   CH2E   CH2E    2.518    2.318    2.718  112.375    9.000
    CY   CR1E   CR1E    2.420    2.220    2.620  121.330    9.000
    H0   CH2E      C    2.057    1.857    2.257  108.036    9.000
    H0   CH1E    OH1    1.974    1.774    2.174  107.066    9.000
    CA      C    NH1    2.437    2.237    2.637  116.766    9.000
    CA      C     OC    2.462    2.262    2.662  116.735    9.000
     O      C     OC    2.422    2.222    2.622  125.777    9.000
    CW   CR1E   CR1E    2.423    2.223    2.623  118.518    9.000
   NH1   CH2P     H0    2.057    1.857    2.257  110.502    9.000
     O      C    NH1    2.252    2.052    2.452  122.220    9.000
  CR1E     CW   CR1W    2.456    2.256    2.656  121.934    9.000
  CH2G      C     OC    2.459    2.259    2.659  116.800    9.000
    HC    NC2     HC    1.731    1.531    1.931  119.766    9.000
     C    NH1   CH2G    2.428    2.228    2.628  121.349    9.000
   CY2    OH1      H    1.952    1.752    2.152  109.015    9.000
  CH2E      C      O    2.395    2.195    2.595  120.520    9.000
    HC    NH1     CA    2.036    1.836    2.236  109.015    9.000
  CH2E   CH3E     H0    2.072    1.872    2.272  109.021    9.000
  CR1E   CR1E   CR1W    2.421    2.221    2.621  120.923    9.000
    CA   CH2P   CH2P    2.393    2.193    2.593  104.159    9.000
  CR1E    CY2    OH1    2.386    2.186    2.586  119.804    9.000
    CA   CH2E      C    2.536    2.336    2.736  112.850    9.000
  CH2E     C5    NH1    2.517    2.317    2.717  122.347    9.000
    CW    C5W   CR1E    2.239    2.039    2.439  105.824    9.000
   NC2      C    NC2    2.295    2.095    2.495  119.270    9.000
    CW   CR1W   CR1W    2.365    2.165    2.566  117.338    9.000
  CH2P     CA      C    2.522    2.322    2.722  111.114    9.000
   C5W   CR1E   CR1E    2.612    2.412    2.812  133.794    9.000
    HC    NH1     HC    1.632    1.432    1.832  109.078    9.000
  CH1E     CA      C    2.524    2.324    2.724  110.665    9.000
    CA   CH1E   CH2E    2.538    2.338    2.738  111.267    9.000
    CA    NH1   CH2P    2.441    2.241    2.641  111.612    9.000
   NH1   CH2P   CH2P    2.335    2.135    2.535  102.582    9.000
   NH1     CW   CR1W    2.512    2.312    2.712  130.153    9.000
  CH3E   CH1E   CH3E    2.506    2.306    2.706  110.554    9.000
    CW   CR1W    HAR    2.095    1.895    2.295  120.973    9.000
    CA   CH2E    OH1    2.425    2.225    2.625  110.676    9.000
   NHS   CRHH    NH1    2.170    1.970    2.370  109.608    9.000
    CA      C      O    2.401    2.201    2.601  120.262    9.000
     C    NH2      H    2.015    1.815    2.215  119.756    9.000
  CH2E    NH3     HC    2.051    1.851    2.252  109.013    9.000
  CR1H    NHS   CRHH    2.174    1.974    2.374  107.227    9.000
    OC      C     OC    2.203    2.003    2.403  122.600    9.000
  CH2E   CH2E   CDR    2.522    2.322    2.722  112.411    9.000
    CA   CH1E   CH3E    2.526    2.326    2.726  110.967    9.000
  CDR    NH1      C    2.474    2.274    2.674  127.163    9.000
   NHS     C5   CR1H    2.197    1.997    2.397  106.800    9.000
    CA   CH1E     H0    2.094    1.894    2.294  109.081    9.000
  CH2P   CH2P   CH2P    2.390    2.190    2.591  105.288    9.000
    C5   CR1H    HAR    2.106    1.906    2.306  125.943    9.000
  CH1E    OH1      H    2.002    1.802    2.202  109.018    9.000
    C5   CR1H    NHS    2.215    2.015    2.415  108.112    9.000
  CR1E   CR1E    CY2    2.390    2.190    2.590  119.450    9.000
    H0   CH2E     SM    2.365    2.164    2.565  111.872    9.000
    CA   CH2E   CH1E    2.585    2.385    2.785  115.182    9.000
     C    NC2     HC    2.024    1.824    2.224  119.737    9.000
    CA   CH2E    C5W    2.540    2.340    2.740  113.464    9.000
    H0   CH2P     H0    1.632    1.432    1.832  109.059    9.000
     C    NH1     CA    2.437    2.237    2.637  121.375    9.000
    HC    NH1   CH2G    2.018    1.818    2.218  109.167    9.000
  CR1E   CR1W    HAR    2.079    1.879    2.279  119.035    9.000
  CR1W   CR1W    HAR    2.064    1.864    2.264  120.008    9.000
     H    NH1     CA    2.133    1.933    2.333  118.943    9.000
    CA   CH2P     H0    2.112    1.912    2.312  110.939    9.000
  CRHH    NH1      H    2.080    1.880    2.280  125.799    9.000
    H0   CH2E     H0    1.632    1.432    1.832  109.057    9.000
   NH1     CA     HA    1.978    1.778    2.179  105.563    9.000
  CH2E     CY   CR1E    2.524    2.324    2.724  120.744    9.000
  CH2E   CDR    NH1    2.465    2.265    2.665  111.945    9.000
  CH2G      C      O    2.393    2.193    2.594  120.404    9.000
   OH1   CH1E   CH3E    2.406    2.206    2.606  109.037    9.000
    H0   CH1E   CH2E    2.065    1.865    2.265  107.542    9.000
   HAR   CRHH    NH1    2.071    1.871    2.271  124.824    9.000
  CR1E     CY   CR1E    2.374    2.174    2.574  117.233    9.000
    CA   CH2E     H0    2.081    1.881    2.281  108.585    9.000
    CW    NH1      H    2.116    1.916    2.316  125.361    9.000
    CA   CH1E    OH1    2.419    2.219    2.619  108.654    9.000
    CF   CR1E   CR1E    2.415    2.215    2.615  120.623    9.000
  CH2E     CA      C    2.508    2.308    2.708  110.158    9.000
  CH2E   CDR   HDR    2.080    1.880    2.280  109.452    9.000
    CA   CH2E   CH2E    2.550    2.350    2.750  113.514    9.000
    HA     CA      C    2.078    1.878    2.278  108.994    9.000
   NH1   CRHH    NH1    2.174    1.974    2.374  110.021    9.000
  CH2E    C5W     CW    2.567    2.367    2.767  126.983    9.000
   HAR   CR1H    NHS    2.123    1.923    2.323  125.603    9.000
    CW    NH1     CW    2.230    2.030    2.430  108.560    9.000
  HDR   CDR   HDR    1.632    1.432    1.832  109.056    9.000
  CR1E     CW    NH1    2.245    2.045    2.445  107.216    9.000
    C5    NH1   CRHH    2.194    1.994    2.394  107.934    9.000
    H0   CH2E     C5    2.033    1.833    2.233  107.553    9.000
  CH2G      C    NH1    2.425    2.225    2.625  116.460    9.000
    C5   CR1H    NH1    2.199    1.999    2.399  107.178    9.000
  CR1H    NH1      H    2.122    1.922    2.322  125.891    9.000
   C5W   CR1E     CW    2.291    2.091    2.491  106.950    9.000
    H0   CH1E   CH3E    2.061    1.861    2.261  107.801    9.000
   C5W     CW    HAR    2.104    1.904    2.304  124.511    9.000
;  CH2E      S     H0    2.342    2.142    2.542  109.013    9.000
  CH2E      S     H0    2.342    2.142    2.542  90.000     9.000
  CH2E      C     OC    2.370    2.170    2.570  117.232    9.000
    CA   CH2E     C5    2.531    2.331    2.731  113.365    9.000
    H0   CH3E     H0    1.632    1.432    1.832  109.058    9.000
     C    NH1   CH2P    2.520    2.320    2.720  127.131    9.000
   HAR   CR1E    CY2    2.070    1.870    2.270  119.906    9.000
    CA   CH3E     H0    2.082    1.882    2.282  109.016    9.000
    HC    NH3     HC    1.632    1.432    1.832  109.054    9.000
  CH2E      C    NH2    2.411    2.211    2.611  116.445    9.000
    H0   CH2E      S    2.371    2.171    2.571  111.687    9.000
   NH1     CA   CH1E    2.474    2.274    2.674  110.874    9.000
  CR1E    CY2   CR1E    2.389    2.189    2.589  119.740    9.000
  HDR   CDR    NH1    2.003    1.803    2.203  107.656    9.000
  CH2E     CF   CR1E    2.521    2.321    2.721  120.286    9.000
    CF   CR1E    HAR    2.073    1.873    2.273  119.332    9.000
   HAR   CR1H    NH1    2.124    1.924    2.324  126.036    9.000
  CH2E     C5   CR1H    2.585    2.385    2.785  130.309    9.000
    HA     CA   CH1E    2.095    1.895    2.295  109.175    9.000
  CR1E     CF   CR1E    2.383    2.183    2.583  117.952    9.000
  CH2E    OH1      H    1.986    1.786    2.186  109.020    9.000
  CH2E     SM   CH3E    2.762    2.562    2.962  100.699    9.000
  CR1E   CR1E    HAR    2.072    1.872    2.272  119.680    9.000
  CH1E   CH2E   CH3E    2.557    2.357    2.757  114.052    9.000
   NH1   CH2G      C    2.475    2.275    2.675  113.028    9.000
